second25,ms26,D,CPM,Vr,valid
1186,977,1518,131,275,1
1187,465,1436,125,278,1
1187,921,1424,133,292,1
1188,410,1487,119,279,1
1188,874,1475,131,267,1
1189,338,1421,129,251,1
1189,818,1409,125,233,1
1190,298,1449,122,240,1
1190,778,1438,127,268,1
1191,226,1364,136,266,1
1191,658,1337,136,245,1
1192,114,1214,136,211,1
1192,498,1250,147,228,1
1192,914,1288,144,224,1
1193,330,1356,144,247,1
1193,698,1382,159,263,1
1195,42,1142,44,141,1
1195,450,1138,147,213,1
1195,906,1075,129,218,1
1222,469,1317,2,332,1
1222,973,1517,125,338,1
1223,413,1662,138,359,1
1223,845,1769,138,369,1
1224,286,1858,133,387,1
1224,742,1981,131,433,1
1225,174,2047,141,468,1
1225,622,2143,133,465,1
1226,78,2211,131,467,1
1226,518,2174,133,435,1
1226,974,2165,133,449,1
1227,430,2140,131,462,1
1227,886,2037,131,414,1
1228,342,2000,129,404,1
1228,798,1965,133,391,1
1229,270,1962,129,398,1
1229,718,2003,131,413,1
1230,182,1961,131,406,1
1230,646,1882,129,371,1
1231,86,1795,136,335,1
1231,510,1837,138,378,1
1231,958,1907,133,410,1
1232,414,2048,133,451,1
1232,846,2092,138,433,1
1233,302,2064,131,401,1
1233,750,2003,133,376,1
1234,198,1955,133,382,1
1234,647,1919,133,390,1
1235,87,1903,136,388,1
1235,543,1889,131,391,1
1235,999,1902,133,376,1
1236,455,1949,127,394,1
1236,927,1900,131,379,1
1237,383,1878,131,399,1
1237,831,1810,133,366,1
1238,279,1851,131,357,1
1238,735,1927,131,413,1
1239,175,1865,136,393,1
1239,631,1737,133,349,1
1240,87,1703,129,337,1
1240,535,1551,136,283,1
1240,967,1437,138,278,1
1241,399,1489,136,306,1
1241,839,1528,136,325,1
1242,271,1551,141,311,1
1242,703,1732,133,389,1
1243,143,1695,141,362,1
1243,592,1707,133,352,1
1244,24,1672,136,332,1
1244,448,1666,141,367,1
1244,888,1697,138,352,1
1245,344,1643,129,313,1
1245,784,1544,136,287,1
1246,224,1457,133,271,1
1246,648,1390,144,288,1
1247,104,1328,133,274,1
1249,888,1409,21,316,1
1250,352,1554,136,376,1
1250,792,1754,138,406,1
1251,192,1875,144,418,1
1251,632,1924,136,408,1
1252,80,1925,133,414,1
1252,521,1966,138,411,1
1252,977,1937,133,397,1
1253,425,1955,133,412,1
1253,865,2000,136,419,1
1254,305,1987,133,436,1
1254,769,2015,131,415,1
1255,209,2090,136,480,1
1255,625,2091,144,427,1
1256,57,2115,136,430,1
1256,505,2042,138,411,1
1256,953,2067,131,407,1
1257,401,2101,133,460,1
1257,841,2089,136,415,1
1258,289,2102,133,438,1
1258,729,2039,138,398,1
1259,185,2123,129,438,1
1259,649,2042,129,396,1
1260,89,2027,136,400,1
1260,553,2011,129,407,1
1261,9,1988,131,406,1
1261,482,2031,127,412,1
1261,962,1990,125,362,1
1262,442,2042,122,420,1
1262,922,1874,127,338,1
1263,410,1867,119,339,1
1263,914,1765,120,315,1
1264,402,1690,120,295,1
1264,914,1591,119,253,1
1265,418,1570,119,265,1
1265,914,1692,122,350,1
1266,362,1718,131,351,1
1266,850,1694,125,320,1
1267,314,1671,125,286,1
1267,762,1647,136,294,1
1268,242,1636,125,304,1
1268,714,1604,129,302,1
1269,178,1588,127,284,1
1269,634,1655,131,332,1
1270,98,1680,129,322,1
1270,578,1742,125,355,1
1271,50,1748,127,365,1
1271,515,1854,129,371,1
1271,971,1885,131,394,1
1272,435,1917,129,397,1
1272,883,1973,133,413,1
1273,339,1984,131,402,1
1273,787,2000,133,409,1
1274,227,2011,138,432,1
1274,675,2005,131,392,1
1275,115,1942,138,377,1
1275,563,1947,131,390,1
1276,27,1977,131,385,1
1276,483,2000,129,378,1
1276,963,2024,127,409,1
1277,443,2040,125,405,1
1277,907,2026,129,414,1
1278,371,2000,127,383,1
1278,803,1942,138,386,1
1279,235,1897,138,384,1
1279,683,1768,138,341,1
1280,99,1697,141,337,1
1280,564,1695,129,313,1
1280,972,1664,141,345,1
1281,428,1559,138,334,1
1281,860,1612,136,344,1
1282,316,1678,131,343,1
1282,756,1673,133,323,1
1283,212,1649,131,299,1
1283,644,1736,138,374,1
1284,100,1771,133,369,1
1284,548,1777,133,358,1
1285,4,1754,131,323,1
1285,460,1819,131,354,1
1285,924,1757,129,344,1
1286,372,1735,133,367,1
1286,796,1741,138,369,1
1287,236,1770,138,352,1
1287,684,1846,131,366,1
1288,132,1869,133,378,1
1288,596,1859,129,356,1
1289,60,1771,131,330,1
1289,493,1829,133,358,1
1289,957,1896,131,378,1
1290,405,1873,136,359,1
1290,853,1917,131,382,1
1291,309,1978,131,390,1
1291,773,1882,131,342,1
1292,221,1928,131,368,1
1292,677,1882,133,367,1
1293,117,1916,133,394,1
1293,565,1942,133,389,1
1294,21,1839,133,349,1
1294,469,1886,131,360,1
1294,925,1888,133,353,1
1295,389,1828,129,336,1
1295,845,1839,129,359,1
1296,293,1846,133,359,1
1296,757,1836,131,342,1
1297,205,1834,131,347,1
1297,677,1811,127,346,1
1298,157,1769,127,319,1
1298,614,1757,129,321,1
1299,62,1668,136,294,1
1299,518,1764,129,369,1
1299,982,1810,131,350,1
1300,422,1794,133,335,1
1300,886,1783,131,337,1
1301,326,1809,136,362,1
1301,782,1847,131,362,1
1302,246,1682,131,273,1
1310,455,1632,7,376,1
1310,951,1590,131,315,1
1311,399,1631,131,302,1
1311,823,1639,136,315,1
1312,263,1697,136,362,1
1312,711,1782,133,366,1
1313,159,1905,136,404,1
1313,599,1940,133,396,1
1314,47,1894,133,355,1
1314,503,1914,129,360,1
1314,951,1826,138,347,1
1315,391,1758,136,342,1
1315,831,1742,136,357,1
1316,279,1736,136,347,1
1316,711,1656,138,299,1
1317,159,1411,136,180,1
1338,882,1397,2,326,1
1339,354,1550,138,364,1
1339,778,1705,138,374,1
1340,202,1884,138,423,1
1340,642,1979,136,468,1
1341,82,2103,136,453,1
1341,506,2134,144,463,1
1341,954,2159,133,445,1
1342,386,2197,136,461,1
1342,850,2168,131,456,1
1343,290,2168,136,458,1
1343,738,2177,131,430,1
1344,194,2161,131,432,1
1344,651,2095,133,427,1
1345,107,2029,133,413,1
1345,539,1993,136,391,1
1345,987,1974,133,396,1
1346,427,2046,136,424,1
1346,883,2018,131,394,1
1347,347,1972,131,400,1
1347,795,1973,131,404,1
1348,267,1998,127,381,1
1348,723,1972,133,387,1
1349,179,2006,129,414,1
1349,651,2060,129,426,1
1350,99,2056,131,405,1
1350,563,2045,131,398,1
1351,19,2024,131,376,1
1351,475,1945,129,377,1
1351,939,1979,131,397,1
1352,395,1947,131,376,1
1352,851,1880,131,366,1
1353,324,1932,125,371,1
1353,772,1876,133,360,1
1354,244,1964,129,410,1
1354,716,1933,125,366,1
1355,172,1938,129,375,1
1355,636,1910,131,369,1
1356,92,1946,131,400,1
1356,556,1971,131,381,1
1357,36,1943,125,364,1
1357,500,1947,127,369,1
1357,948,1920,133,371,1
1358,404,1923,133,388,1
1358,860,1997,129,398,1
1359,316,1929,131,371,1
1359,772,1897,131,345,1
1360,220,1995,133,409,1
1360,684,2014,129,410,1
1361,132,1955,133,375,1
1361,588,1891,131,331,1
1362,52,1885,131,349,1
1362,500,1848,131,331,1
1362,956,1923,131,388,1
1363,429,1873,127,344,1
1363,893,1909,131,381,1
1364,357,1950,129,397,1
1364,829,1943,127,378,1
1365,293,2009,127,427,1
1365,765,1911,131,369,1
1366,221,1954,127,363,1
1366,693,1875,127,345,1
1367,141,1940,133,411,1
1367,581,1936,138,422,1
1368,13,1929,136,373,1
1368,469,1950,131,379,1
1368,925,1956,131,366,1
1369,381,1999,131,397,1
1369,837,1927,133,375,1
1370,261,1884,138,381,1
1370,725,1905,131,355,1
1371,181,1839,131,336,1
1371,637,1866,129,362,1
1372,93,1908,131,364,1
1372,550,1930,131,386,1
1373,14,1811,133,335,1
1373,470,1668,129,288,1
1373,918,1643,133,291,1
1374,366,1737,131,337,1
1374,822,1779,131,375,1
1375,294,1758,129,355,1
1375,742,1737,133,320,1
1376,182,1699,133,283,1
1376,646,1744,129,298,1
1377,110,1664,129,311,1
1377,582,1698,127,343,1
1378,38,1713,131,324,1
1378,510,1664,129,300,1
1378,990,1662,125,304,1
1379,406,1805,138,377,1
1379,870,1766,133,345,1
1380,310,1787,136,334,1
1380,734,1848,136,356,1
1381,182,1852,136,359,1
1381,631,1797,136,360,1
1382,63,1723,138,325,1
1382,511,1655,131,298,1
1382,959,1583,133,284,1
1383,415,1654,131,329,1
1383,871,1693,131,331,1
1384,319,1606,136,267,1
1384,767,1634,131,280,1
1385,239,1630,125,300,1
1385,687,1661,136,340,1
1386,143,1666,133,315,1
1386,591,1783,131,379,1
1387,39,1799,133,366,1
1387,487,1747,133,322,1
1387,943,1675,133,292,1
1388,407,1624,129,288,1
1388,847,1678,133,350,1
1389,319,1691,129,321,1
1389,751,1685,136,323,1
1390,207,1652,133,305,1
1390,632,1637,138,327,1
1391,64,1713,138,357,1
1391,520,1767,131,353,1
1391,976,1682,133,304,1
1392,416,1691,133,316,1
1392,872,1641,131,293,1
1393,320,1549,138,283,1
1393,744,1462,138,290,1
1394,168,1597,138,322,1
1394,616,1625,133,316,1
1395,56,1711,136,344,1
1395,512,1675,133,300,1
1451,630,1406,1,235,1
1452,86,1359,141,311,1
1452,518,1326,141,278,1
1452,958,1310,138,251,1
1453,398,1403,133,289,1
1453,838,1333,131,297,1
1454,286,1267,136,282,1
1454,750,1226,131,277,1
1455,206,1223,131,258,1
1455,655,1247,129,263,1
1456,119,1199,131,259,1
1456,591,1168,127,253,1
1457,63,1146,129,242,1
1457,519,1171,131,244,1
1457,967,1217,129,260,1
1458,439,1204,127,258,1
1458,887,1201,136,263,1
1459,351,1169,131,249,1
1459,815,1135,131,250,1
1460,271,1128,131,249,1
1460,719,1161,133,265,1
1461,167,1149,131,254,1
1461,615,1122,133,251,1
1462,63,1105,133,240,1
1462,519,1081,133,236,1
1462,967,1088,133,246,1
1463,423,1060,131,231,1
1463,879,1074,129,250,1
1464,344,1033,131,204,1
1464,776,1014,136,214,1
1465,200,967,144,221,1
1465,664,973,127,208,1
1466,96,956,136,195,1
1466,552,910,136,196,1
1467,32,895,127,194,1
1467,480,952,129,192,1
1467,936,951,129,170,1
1468,400,891,133,187,1
1468,872,791,129,172,1
1469,344,772,127,191,1
1469,808,826,129,184,1
1470,248,892,133,203,1
1470,712,877,129,190,1
1471,176,881,131,202,1
1471,624,864,131,174,1
1472,88,857,131,175,1
1472,528,869,133,190,1
1472,992,836,129,192,1
1473,481,839,125,203,1
1473,929,891,129,168,1
1474,369,900,138,192,1
1474,809,899,136,202,1
1475,265,913,131,221,1
1475,729,901,129,202,1
1476,169,918,138,216,1
1476,601,958,133,206,1
1477,41,977,138,226,1
1477,465,989,141,230,1
1477,905,1003,136,239,1
1478,345,1008,136,235,1
1478,801,991,131,221,1
1479,249,984,133,206,1
1479,737,1020,119,212,1
1480,177,1043,136,243,1
1480,641,1006,133,232,1
1481,97,1017,131,207,1
1481,521,1063,138,228,1
1481,977,1069,129,230,1
1482,441,1128,131,260,1
1482,897,1103,136,252,1
1483,362,1110,127,239,1
1483,802,1154,131,239,1
1484,258,1163,131,241,1
1484,706,1146,136,261,1
1485,178,1035,131,217,1
1485,610,1049,136,238,1
1486,50,1052,136,222,1
1486,490,1057,133,231,1
1486,914,1044,141,222,1
1487,346,1047,141,237,1
1487,818,1086,127,256,1
1488,258,1085,136,232,1
1488,706,1082,133,217,1
1489,138,1067,136,220,1
1489,602,978,133,192,1
1490,58,965,125,167,1
1490,498,981,138,207,1
1490,938,907,141,174,1
1491,386,927,131,174,1
1491,826,959,133,177,1
1492,275,939,133,183,1
1492,779,994,119,230,1
1493,267,1036,122,240,1
1493,723,1054,133,230,1
1494,171,1074,133,213,1
1494,595,1156,133,224,1
1495,83,1091,127,220,1
1495,547,1023,131,204,1
1496,27,1045,125,221,1
1496,459,1057,138,218,1
1496,883,1083,141,215,1
1497,347,1051,127,203,1
1497,803,1018,136,213,1
1498,227,1064,133,227,1
1498,683,1049,136,218,1
1499,163,1034,125,229,1
1499,643,1015,122,200,1
1500,99,1053,129,227,1
1500,539,1069,138,247,1
1500,987,1037,136,216,1
1501,420,1061,136,201,1
1501,884,1115,129,226,1
1502,324,1119,136,249,1
1502,772,1092,133,242,1
1503,236,1063,131,239,1
1503,668,1037,138,214,1
1504,108,1037,133,208,1
1504,572,1069,131,234,1
1505,20,1075,133,239,1
1505,476,1103,129,246,1
1505,964,1092,125,214,1
1506,428,1140,127,227,1
1506,884,1113,133,218,1
1507,332,1116,131,223,1
1507,804,1069,131,228,1
1508,268,1034,127,212,1
1508,732,1054,127,234,1
1509,196,1062,131,225,1
1509,652,1035,129,203,1
1510,108,1071,133,225,1
1510,565,1044,129,195,1
1511,29,1035,131,208,1
1511,493,1042,127,224,1
1511,957,1039,131,217,1
1512,413,1046,131,209,1
1512,845,1038,136,207,1
1513,301,1031,131,214,1
1513,773,1057,127,231,1
1514,221,1069,133,211,1
1514,677,989,136,197,1
1515,157,1035,120,227,1
1515,621,975,129,204,1
1516,85,929,131,181,1
1516,541,964,129,207,1
1516,997,1000,131,236,1
1517,461,919,136,201,1
1517,901,922,133,179,1
1518,349,1004,129,196,1
1518,797,1010,133,212,1
1519,253,1020,133,227,1
1519,717,972,129,193,1
1520,157,1045,133,233,1
1520,614,1059,131,212,1
1521,78,1033,131,213,1
1521,526,1031,131,190,1
1521,974,1029,136,211,1
1522,422,939,133,176,1
1634,618,993,0,250,1
1635,26,1074,159,310,1
1635,522,1163,122,241,1
1635,938,1359,136,314,1
1636,370,1375,138,327,1
1636,810,1291,141,307,1
1637,274,1132,129,248,1
1637,698,1167,141,270,1
1638,146,1220,131,279,1
1638,586,1300,136,305,1
1639,50,1273,131,284,1
1639,499,1288,129,306,1
1640,3,1328,122,325,1
1640,467,1269,129,262,1
1640,907,1282,133,290,1
1641,355,1283,136,297,1
1641,827,1285,127,309,1
1642,283,1279,129,284,1
1642,723,1245,138,286,1
1643,187,1235,129,307,1
1643,643,1264,129,315,1
1644,107,1230,133,267,1
1644,539,1326,136,326,1
1644,987,1411,131,335,1
1645,451,1391,133,337,1
1645,923,1368,125,294,1
1646,403,1308,127,263,1
1646,859,1313,127,292,1
1647,307,1324,136,314,1
1647,763,1263,131,283,1
1648,243,1195,125,242,1
1648,700,1139,129,262,1
1649,172,1042,136,246,1
1649,612,1065,131,235,1
1650,76,1114,125,256,1
1650,572,1027,125,214,1
1650,996,1056,138,249,1
1651,460,995,131,247,1
1651,876,1057,141,249,1
1652,316,1107,136,256,1
1652,764,1171,131,270,1
1653,228,1222,131,300,1
1653,684,1224,131,286,1
1654,156,1274,127,294,1
1654,612,1332,129,300,1
1655,76,1295,131,302,1
1655,548,1363,127,325,1
1655,996,1402,133,312,1
1656,476,1391,122,285,1
1656,948,1374,127,274,1
1657,428,1393,125,299,1
1657,908,1415,125,326,1
1658,365,1407,136,319,1
1658,845,1395,122,299,1
1659,309,1400,127,300,1
1659,829,1412,113,273,1
1660,301,1423,129,303,1
1660,733,1344,141,299,1
1661,181,1311,136,290,1
1661,637,1381,129,300,1
1662,93,1400,129,307,1
1662,573,1371,127,309,1
1663,45,1353,127,316,1
1663,469,1415,138,329,1
1663,917,1546,133,320,1
1664,373,1589,129,351,1
1664,837,1517,133,339,1
1665,301,1487,129,307,1
1665,773,1518,127,299,1
1666,205,1493,136,302,1
1666,661,1487,131,289,1
1667,165,1472,119,295,1
1667,614,1433,136,302,1
1668,62,1489,131,326,1
1668,494,1595,136,348,1
1668,958,1543,133,306,1
1669,414,1528,129,323,1
1669,870,1455,133,292,1
1670,302,1450,138,319,1
1670,750,1469,131,311,1
1671,182,1514,141,327,1
1671,638,1538,129,328,1
1672,86,1567,136,353,1
1672,534,1598,131,348,1
1672,966,1613,138,363,1
1673,422,1612,133,336,1
1673,870,1622,131,339,1
1674,318,1574,136,329,1
1674,798,1554,125,342,1
1675,254,1625,129,368,1
1675,702,1717,133,371,1
1676,150,1716,133,369,1
1676,615,1623,131,327,1
1677,71,1576,131,317,1
1677,519,1592,131,335,1
1677,991,1588,129,323,1
1678,439,1625,131,340,1
1678,903,1571,131,316,1
1679,343,1571,133,315,1
1679,807,1626,129,329,1
1680,271,1603,131,315,1
1680,711,1540,136,295,1
1681,183,1450,127,251,1
1681,623,1459,133,277,1
1682,63,1453,138,289,1
1682,503,1496,131,293,1
1682,951,1563,136,317,1
1683,399,1540,133,306,1
1683,847,1589,133,318,1
1684,303,1618,131,325,1
1684,767,1587,131,294,1
1685,215,1604,131,315,1
1685,656,1539,136,276,1
1686,96,1561,136,302,1
1686,536,1538,136,299,1
1686,992,1572,131,307,1
1687,440,1598,133,322,1
1687,904,1600,131,314,1
1688,360,1616,131,312,1
1688,808,1628,131,320,1
1689,288,1683,125,350,1
1689,752,1661,131,335,1
1690,216,1600,129,296,1
1690,664,1602,131,321,1
1691,136,1458,129,269,1
1691,560,1496,136,324,1
1692,24,1470,133,286,1
1692,448,1503,138,313,1
1692,888,1470,136,294,1
1693,344,1512,131,309,1
1693,808,1626,129,361,1
1694,280,1680,127,351,1
1694,744,1580,131,286,1
1695,248,1523,117,280,1
1695,689,1515,136,309,1
1696,161,1567,129,351,1
1696,625,1585,127,329,1
1697,81,1456,136,272,1
1697,497,1457,138,307,1
1697,937,1483,136,295,1
1698,401,1521,129,298,1
1698,873,1673,127,366,1
1699,353,1816,122,380,1
1699,817,1762,133,353,1
1700,273,1678,131,320,1
1700,721,1603,133,311,1
1701,185,1582,127,280,1
1701,649,1602,129,306,1
1702,89,1536,138,295,1
1702,521,1636,136,365,1
1702,985,1813,129,403,1
1703,433,1931,133,418,1
1703,913,1762,127,297,1
1704,346,1728,136,333,1
1704,794,1663,133,334,1
1705,266,1626,127,309,1
1705,714,1610,133,297,1
1706,170,1647,131,337,1
1706,618,1501,133,250,1
1707,82,1460,129,253,1
1707,530,1496,133,334,1
1708,10,1473,127,283,1
1708,474,1479,129,292,1
1708,922,1482,131,274,1
1709,370,1529,133,324,1
1709,802,1465,138,258,1
1710,250,1553,131,320,1
1710,706,1548,133,304,1
1711,138,1520,138,282,1
1711,594,1499,131,280,1
1712,74,1497,125,270,1
1712,546,1523,125,282,1
1713,34,1462,125,266,1
1713,507,1429,127,223,1
1713,979,1332,127,200,1
3816,151,2483,0,1468,1
3817,439,3687,50,682,1
3823,807,2349,9,853,1
3825,680,3119,35,223,1
3832,768,2570,8,290,1
3836,553,1803,15,59,1
3857,331,1368,2,170,1
3858,83,1558,107,302,1
3859,755,2638,37,154,1
3867,788,2026,7,103,1
3869,828,1355,26,62,1
